Conn Time., Send Time, Recv Time,,,,,
0.509,0.0529,1.6362,,,,,
0.4659,0.0519,1.9219,,,,,
0.6507,0.0604,3.2921,,,,,
0.5069,0.0627,1.7395,,,,,
0.5114,0.0286,1.9505,,,,,
0.4949,0.0513,2.1773,,,,,
0.48,0.0525,2.5742,,,,,
0.5095,0.0295,3.0037,,,,,
0.5404,0.0603,2.0169,,,,,
0.5151,0.0606,1.8542,,,,,
0.4982,0.0581,1.9441,,,,,
0.6237,0.0649,2.2219,,,,,
0.5412,0.0298,2.1324,,,,,
0.5167,0.0556,1.8257,,,,,
0.5674,0.068,2.1892,,,,,
0.5363,0.0655,2.5209,,,,,
0.5785,0.0593,2.3184,,,,,
0.5546,0.0539,2.0607,,,,,
0.5193,0.0282,1.9802,,,,,
0.5202,0.0602,1.8735,,,,,
0.575,0.061,2.3932,,,,,
0.5586,0.0289,2.2609,,,,,
0.5646,0.0574,1.8597,,,,,
0.603,0.0613,2.3656,,,,,
0.5762,0.0591,2.0852,,,,,
0.6193,0.0625,2.3563,,,,,
0.6276,0.0671,1.9862,,,,,
0.5058,0.0296,2.3147,,,,,
0.54,0.0762,2.1962,,,,,
0.5109,0.0584,2.3404,,,,,
0.5428,0.0604,2.2585,,,,,
0.5203,0.0559,2.1538,,,,,
0.4896,0.0556,1.8454,,,,,
0.4803,0.0856,2.25,,,,,
0.5997,0.08,2.5319,,,,,
0.5479,0.0748,2.3208,,,,,
0.5094,0.0319,2.2458,,,,,
0.521,0.0676,2.2595,,,,,
0.6649,0.0665,3.0478,,,,,
0.555,0.0274,2.7642,,,,,
0.6397,0.0689,2.191,,,,,
0.6464,0.0692,2.1665,,,,,
0.6775,0.1033,3.6679,,,,,
0.6144,0.0711,2.1771,,,,,
0.5311,0.0753,2.1797,,,,,
0.5644,0.068,2.417,,,,,
0.6194,0.0607,2.3079,,,,,
0.5972,0.0549,2.2513,,,,,
0.5621,0.0688,2.2964,,,,,
0.5661,0.0557,2.4554,,,,,
0.5682,0.0716,2.693,,,,,
0.525,0.0651,2.8677,,,,,
0.5456,0.0304,2.1507,,,,,
0.5866,0.0684,2.7162,,,,,
0.5197,0.0618,2.8778,,,,,
0.5031,0.0277,2.3482,,,,,
0.4996,0.0258,2.2247,,,,,
0.517,0.0268,2.1648,,,,,
0.5438,0.0584,2.7601,,,,,
0.7216,0.0727,2.6219,,,,,
0.5697,0.056,2.1889,,,,,
0.6812,0.0628,2.9939,,,,,
0.5833,0.0744,2.3646,,,,,
0.5633,0.065,3.1744,,,,,
0.5747,0.0614,2.4787,,,,,
0.5715,0.0706,2.4172,,,,,
0.5892,0.0565,2.3836,,,,,
0.6405,0.0652,2.1624,,,,,
0.5667,0.0565,2.0792,,,,,
0.5178,0.0577,2.1681,,,,,
0.5245,0.0578,5.4725,,,,,
0.5863,0.0608,2.7548,,,,,
0.5817,0.0619,2.2914,,,,,
0.5087,0.027,2.3781,,,,,
0.5672,0.0895,2.4611,,,,,
0.5066,0.0257,2.3633,,,,,
0.4861,0.0253,2.6591,,,,,
0.5046,0.0496,2.2346,,,,,
0.543,0.0529,2.0516,,,,,
0.581,0.0605,2.9711,,,,,
0.612,0.0668,2.3662,,,,,
0.527,0.0636,6.9227,,,,,
0.5362,0.0609,10.3789,,,,,
0.5352,0.0628,2.299,,,,,
0.5829,0.0602,2.6587,,,,,
0.5085,0.0265,2.4171,,,,,
0.4888,0.0245,1.9334,,,,,
0.5677,0.1132,2.5248,,,,,
0.6245,0.0601,2.6871,,,,,
0.5333,0.0557,2.1803,,,,,
0.6748,0.0673,2.5811,,,,,
0.5693,0.0267,3.4094,,,,,
0.5336,0.026,2.4553,,,,,
0.5367,0.027,2.1378,,,,,
0.5336,0.0284,2.2497,,,,,
0.5613,0.0587,2.4648,,,,,
0.6216,0.0598,2.4309,,,,,
0.6208,0.0601,2.5983,,,,,
0.538,0.0301,2.9729,,,,,
0.5699,0.057,2.4817,,,,,
0.583,0.0645,2.2814,,,,,
0.5041,0.0603,2.0186,,,,,
0.4957,0.0251,2.2666,,,,,
0.5543,0.0684,2.3493,,,,,
0.5703,0.0649,4.5981,,,,,
0.5443,0.0563,2.1947,,,,,
0.5801,0.0598,2.0379,,,,,
0.4902,0.0604,2.1381,,,,,
0.5248,0.0622,2.142,,,,,
0.5472,0.06,2.3664,,,,,
0.4973,0.061,2.3208,,,,,
0.4806,0.0573,3.1384,,,,,
0.5098,0.0299,2.6352,,,,,
0.5442,0.0611,2.8084,,,,,
0.5088,0.0297,2.6622,,,,,
0.5434,0.0597,4.5072,,,,,
0.5647,0.0616,4.3996,,,,,
0.5172,0.0317,3.2916,,,,,
0.5961,0.059,3.7517,,,,,
0.5294,0.0607,2.5475,,,,,
0.5068,0.0609,2.6471,,,,,
0.5415,0.0293,2.293,,,,,
0.6452,0.0644,2.4019,,,,,
0.5417,0.0602,3.0777,,,,,
0.5591,0.0573,2.2206,,,,,
0.5391,0.064,2.5231,,,,,
0.577,0.0721,5.2304,,,,,
0.5731,0.0594,2.2212,,,,,
0.5356,0.0587,2.5646,,,,,
0.5702,0.0596,2.3435,,,,,
0.599,0.0585,2.4034,,,,,
0.5905,0.0615,2.2649,,,,,
0.5063,0.0239,2.4498,,,,,
0.5501,0.068,2.7048,,,,,
0.6046,0.0623,2.8177,,,,,
0.5773,0.0587,4.3934,,,,,
0.5359,0.0566,2.0137,,,,,
0.5252,0.0564,2.7205,,,,,
0.5826,0.0615,2.2355,,,,,
0.5117,0.0263,2.1652,,,,,
0.5123,0.0552,2.122,,,,,
0.5713,0.0593,2.8142,,,,,
0.5417,0.0413,3.1638,,,,,
0.5946,0.0633,2.5172,,,,,
0.5102,0.0586,2.2549,,,,,
0.5127,0.0703,2.3767,,,,,
0.5494,0.0754,2.4464,,,,,
0.5631,0.0601,2.4734,,,,,
0.5732,0.0639,2.0711,,,,,
0.5391,0.0671,2.6093,,,,,
0.5746,0.0612,2.4823,,,,,
0.5432,0.069,3.2325,,,,,
0.5415,0.0612,2.1873,,,,,
0.5281,0.0637,2.7647,,,,,
0.6074,0.1017,3.205,,,,,
0.5886,0.0596,2.3424,,,,,
0.5544,0.0651,2.2175,,,,,
0.5583,0.0586,2.2633,,,,,
0.5926,0.0601,2.3387,,,,,
0.5453,0.0575,2.1463,,,,,
0.5742,0.0637,2.266,,,,,
0.5347,0.0614,2.2968,,,,,
0.5166,0.0741,2.3204,,,,,
0.5557,0.0623,2.2349,,,,,
0.5879,0.0596,2.3382,,,,,
0.582,0.0615,2.1976,,,,,
0.5709,0.0597,2.717,,,,,
0.5367,0.06,2.9966,,,,,
0.5931,0.0601,2.2501,,,,,
0.5159,0.0572,2.252,,,,,
0.5328,0.0623,2.2294,,,,,
0.6267,0.0648,2.4627,,,,,
0.5774,0.0633,2.5171,,,,,
0.5614,0.0579,2.7137,,,,,
0.5491,0.0591,2.2571,,,,,
0.627,0.0685,3.4696,,,,,
0.583,0.0594,2.1908,,,,,
0.5617,0.057,2.2898,,,,,
0.6279,0.0708,4.1534,,,,,
0.5255,0.0595,2.4438,,,,,
0.5169,0.0608,1.9229,,,,,
0.3848,0.0197,1.852,,,,,
0.3593,0.0184,1.9136,,,,,
